"ID" "Year" "LAI_Q75" "Municipality"
"Panevezys.2009" 29 2009 3.59314128603983 "Panevezys"
"Pasvalys.2009" 30 2009 3.09615642833165 "Pasvalys"
"Rokiskis.2009" 31 2009 3.60083951818956 "Rokiskis"
"Silale.2009" 32 2009 4.19678166351607 "Silale"
"Jurbarkas.2009" 33 2009 3.62215003589375 "Jurbarkas"
"Taurage.2009" 34 2009 3.97385985967504 "Taurage"
"Mazeikiai.2009" 35 2009 3.24622037155669 "Mazeikiai"
"Plunge.2009" 36 2009 4.08384318766067 "Plunge"
"Telsiai.2009" 37 2009 3.82421863146715 "Telsiai"
"Anyksciai.2009" 38 2009 3.71481413994169 "Anyksciai"
"Ignalina.2009" 39 2009 3.74048284118116 "Ignalina"
"Moletai.2009" 40 2009 3.79943237504084 "Moletai"
"Utena.2009" 41 2009 3.95234988136521 "Utena"
"Zarasai.2009" 42 2009 3.97833272627937 "Zarasai"
"Salcininkai.2009" 43 2009 3.82020958083832 "Salcininkai"
"Sirvintos.2009" 44 2009 3.85048801581418 "Sirvintos"
"Svencionys.2009" 45 2009 3.73827059120768 "Svencionys"
"Trakai.2009" 46 2009 3.82310551715143 "Trakai"
"Ukmerge.2009" 47 2009 3.74811093871218 "Ukmerge"
"Vilnius.2009" 48 2009 3.92665725130197 "Vilnius"
"Siauliai.2010" 1 2010 4.02660739110287 "Siauliai"
"Akmene.2010" 2 2010 3.65426165537071 "Akmene"
"Joniskis.2010" 3 2010 3.97334699199106 "Joniskis"
"Kelme.2010" 4 2010 4.2135974025974 "Kelme"
"Pakruojis.2010" 5 2010 3.76244891286578 "Pakruojis"
"Radviliskis.2010" 6 2010 3.75719099609112 "Radviliskis"
"Alytus.2010" 7 2010 3.65842222222222 "Alytus"
"Druskininkai.2010" 8 2010 2.88380681818182 "Druskininkai"
"Lazdijai.2010" 9 2010 3.54567943770673 "Lazdijai"
"Varena.2010" 10 2010 3.68638174417598 "Varena"
"Birstonas.2010" 11 2010 3.301875 "Birstonas"
"Jonava.2010" 12 2010 4.03614079925651 "Jonava"
"Kedainiai.2010" 13 2010 3.93631379715442 "Kedainiai"
"Kaisiadorys.2010" 14 2010 4.07541943215339 "Kaisiadorys"
"Kaunas.2010" 15 2010 3.89988522537563 "Kaunas"
"Prienai.2010" 16 2010 3.82150900900901 "Prienai"
"Raseiniai.2010" 17 2010 3.95703212290503 "Raseiniai"
"Silute.2010" 18 2010 4.00431499770326 "Silute"
"Klaipeda.2010" 19 2010 3.83491482112436 "Klaipeda"
"Kretinga.2010" 20 2010 4.0082197053002 "Kretinga"
"Neringa.2010" 21 2010 2.75464285714286 "Neringa"
"Palanga.2010" 22 2010 4.00669515669516 "Palanga"
"Skuodas.2010" 23 2010 3.66847332576617 "Skuodas"
"Sakiai.2010" 24 2010 4.14745004890317 "Sakiai"
"Marijampole.2010" 25 2010 3.88993606998654 "Marijampole"
"Vilkaviskis.2010" 26 2010 3.8073647380099 "Vilkaviskis"
"Birzai.2010" 27 2010 3.85745652491597 "Birzai"
"Kupiskis.2010" 28 2010 3.7328168872844 "Kupiskis"
"Panevezys.2010" 29 2010 3.8451278113544 "Panevezys"
"Pasvalys.2010" 30 2010 3.68760490097348 "Pasvalys"
"Rokiskis.2010" 31 2010 3.92990631463682 "Rokiskis"
"Silale.2010" 32 2010 4.5834168241966 "Silale"
"Jurbarkas.2010" 33 2010 4.10731155778894 "Jurbarkas"
"Taurage.2010" 34 2010 4.36387555391433 "Taurage"
"Mazeikiai.2010" 35 2010 3.43539931667734 "Mazeikiai"
"Plunge.2010" 36 2010 4.41327914149852 "Plunge"
"Telsiai.2010" 37 2010 4.11467152177211 "Telsiai"
"Anyksciai.2010" 38 2010 3.95453717201166 "Anyksciai"
"Ignalina.2010" 39 2010 4.01254388764762 "Ignalina"
"Moletai.2010" 40 2010 4.17791979745181 "Moletai"
"Utena.2010" 41 2010 4.39374885928089 "Utena"
"Zarasai.2010" 42 2010 4.39679020214897 "Zarasai"
"Salcininkai.2010" 43 2010 3.98577844311377 "Salcininkai"
"Sirvintos.2010" 44 2010 4.12236224363726 "Sirvintos"
"Svencionys.2010" 45 2010 3.85950290550783 "Svencionys"
"Trakai.2010" 46 2010 4.12814619196661 "Trakai"
"Ukmerge.2010" 47 2010 4.05044220325834 "Ukmerge"
