"ID" "Year" "LAI_Med" "Municipality"
"Trakai.2008" 46 2008 2.87542988154375 "Trakai"
"Ukmerge.2008" 47 2008 2.84049815498155 "Ukmerge"
"Vilnius.2008" 48 2008 2.84924776880578 "Vilnius"
"Siauliai.2009" 1 2009 2.65755542922115 "Siauliai"
"Akmene.2009" 2 2009 2.59989743589744 "Akmene"
"Joniskis.2009" 3 2009 2.0498233872467 "Joniskis"
"Kelme.2009" 4 2009 2.95113268608414 "Kelme"
"Pakruojis.2009" 5 2009 2.19326687367217 "Pakruojis"
"Radviliskis.2009" 6 2009 2.46326530612245 "Radviliskis"
"Alytus.2009" 7 2009 2.76556903523975 "Alytus"
"Druskininkai.2009" 8 2009 2.12553191489362 "Druskininkai"
"Lazdijai.2009" 9 2009 2.61411889596603 "Lazdijai"
"Varena.2009" 10 2009 2.76440093159665 "Varena"
"Birstonas.2009" 11 2009 2.4275 "Birstonas"
"Jonava.2009" 12 2009 2.78723796360286 "Jonava"
"Kedainiai.2009" 13 2009 2.55044247787611 "Kedainiai"
"Kaisiadorys.2009" 14 2009 2.99268692013826 "Kaisiadorys"
"Kaunas.2009" 15 2009 2.52793094563257 "Kaunas"
"Prienai.2009" 16 2009 2.83572362278245 "Prienai"
"Raseiniai.2009" 17 2009 2.64065796779567 "Raseiniai"
"Silute.2009" 18 2009 2.86323841429369 "Silute"
"Klaipeda.2009" 19 2009 2.71883042840854 "Klaipeda"
"Kretinga.2009" 20 2009 2.92780935723655 "Kretinga"
"Neringa.2009" 21 2009 1.92288888888889 "Neringa"
"Palanga.2009" 22 2009 2.59903614457831 "Palanga"
"Skuodas.2009" 23 2009 2.64416704493872 "Skuodas"
"Sakiai.2009" 24 2009 2.50026418242492 "Sakiai"
"Marijampole.2009" 25 2009 2.7153190355668 "Marijampole"
"Vilkaviskis.2009" 26 2009 2.39045354170206 "Vilkaviskis"
"Birzai.2009" 27 2009 2.79279161205767 "Birzai"
"Kupiskis.2009" 28 2009 2.74596967278532 "Kupiskis"
"Panevezys.2009" 29 2009 2.727822343964 "Panevezys"
"Pasvalys.2009" 30 2009 2.09207920792079 "Pasvalys"
"Rokiskis.2009" 31 2009 2.81032530120482 "Rokiskis"
"Silale.2009" 32 2009 3.44834874504623 "Silale"
"Jurbarkas.2009" 33 2009 2.77559122832163 "Jurbarkas"
"Taurage.2009" 34 2009 3.21723505683902 "Taurage"
"Mazeikiai.2009" 35 2009 2.53722152164775 "Mazeikiai"
"Plunge.2009" 36 2009 3.33450775883999 "Plunge"
"Telsiai.2009" 37 2009 3.09355031352643 "Telsiai"
"Anyksciai.2009" 38 2009 2.92161901314996 "Anyksciai"
"Ignalina.2009" 39 2009 2.85013652912621 "Ignalina"
"Moletai.2009" 40 2009 3.0130182160804 "Moletai"
"Utena.2009" 41 2009 3.2405864473449 "Utena"
"Zarasai.2009" 42 2009 3.10738220785848 "Zarasai"
"Salcininkai.2009" 43 2009 2.93827160493827 "Salcininkai"
"Sirvintos.2009" 44 2009 3.10735909426532 "Sirvintos"
"Svencionys.2009" 45 2009 2.81457736835553 "Svencionys"
"Trakai.2009" 46 2009 3.02151318303401 "Trakai"
"Ukmerge.2009" 47 2009 2.99924661746617 "Ukmerge"
"Vilnius.2009" 48 2009 3.04206544836379 "Vilnius"
"Siauliai.2010" 1 2010 3.0450369528141 "Siauliai"
"Akmene.2010" 2 2010 2.77801025641026 "Akmene"
"Joniskis.2010" 3 2010 2.54692321992936 "Joniskis"
"Kelme.2010" 4 2010 3.3475857605178 "Kelme"
"Pakruojis.2010" 5 2010 2.54268671351528 "Pakruojis"
"Radviliskis.2010" 6 2010 2.73006176154672 "Radviliskis"
"Alytus.2010" 7 2010 3.01955517042172 "Alytus"
