"Municipality" "Year" "ID" "LAI_Avg" "LAI_Med" "LAI_Q75" "LAI_Q90" "LAI_Max" "Forest_Coverage"
"156" "Klaipeda" 2005 19 2.82812299809787 2.60871477439322 3.45228279386712 3.94237478315526 4.53575809199319 25.9
"157" "Klaipeda" 2006 19 2.52402062238348 2.30933376771461 3.16134156729131 3.72861498045556 4.26698466780238 26
"158" "Klaipeda" 2007 19 3.15789962781871 2.84940544062551 3.66572827938671 4.29348211006574 5.10362862010221 26
"159" "Klaipeda" 2008 19 2.68013225162118 2.52376608568171 3.13522146507666 3.56414309262823 4.06928449744463 26
"160" "Klaipeda" 2009 19 2.95369160746503 2.71883042840854 3.48514480408859 4.02537988820312 4.65023850085179 26
"161" "Klaipeda" 2010 19 3.27697791107246 2.98929793125916 3.83491482112436 4.47251958357211 5.20270868824532 26
"162" "Klaipeda" 2011 19 3.0336998804716 2.80423521746213 3.60276831345826 4.12759795247391 4.78635434412266 26
"163" "Klaipeda" 2012 19 3.0769719131427 2.84567519139925 3.60274701873935 4.12597784827068 4.78746166950596 26
"164" "Klaipeda" 2013 19 3.27550740268628 2.97286202964652 3.98849659284497 4.68201362514821 5.41594548551959 26
"165" "Klaipeda" 2014 19 2.96144607531405 2.70451213552696 3.5835604770017 4.17306473067509 4.87194207836457 26
"166" "Kretinga" 2004 20 2.89633446685514 2.76930476606909 3.4522707279525 3.93873102782925 4.60809324829558 33.1
"167" "Kretinga" 2005 20 2.84791748241495 2.68006121556624 3.54269848251594 4.07219485328411 4.73232900813723 34.4
"168" "Kretinga" 2006 20 2.55821139017862 2.35791429820726 3.2597646800088 3.80653837037029 4.36089729491973 34.6
"169" "Kretinga" 2007 20 3.14843832199616 2.97020113686052 3.73332966791291 4.52065757678476 5.39296239278645 34.6
"170" "Kretinga" 2008 20 2.86987425301039 2.87262789680805 3.41855069276446 3.83351659458077 4.36175500329888 34.6
"171" "Kretinga" 2009 20 3.02642757958021 2.92780935723655 3.63757422476358 4.16892675666566 4.78049263250495 34.6
"172" "Kretinga" 2010 20 3.28345755733649 3.08003935286401 4.0082197053002 4.69754343072687 5.4299758082252 34.6
"173" "Kretinga" 2011 20 2.76343960110949 2.63384346305203 3.33092148669452 3.81096547074126 4.44838354959314 34.6
"174" "Kretinga" 2012 20 3.1517253095486 3.05553126366419 3.75399714097207 4.28767758607078 4.97583021772597 34.6
"175" "Kretinga" 2013 20 3.22034920947391 3.00163970266725 4.09518913569386 4.82390586676009 5.5403122938201 34.6
"176" "Kretinga" 2014 20 3.04362117051143 2.89145168342807 3.80048383549593 4.45346821822097 5.20008797009017 34.6
"177" "Kupiskis" 2004 28 2.99720552745823 2.81965283320032 3.50970718010429 4.08865021678085 4.85888487765744 27.9
"178" "Kupiskis" 2005 28 2.97596468006967 2.736053471668 3.6260980746089 4.24772362651664 4.99638989169675 28.1
"179" "Kupiskis" 2006 28 2.48690514170057 2.33922585794094 2.98915463297232 3.53641997165963 4.22589249899719 28.1
"180" "Kupiskis" 2007 28 3.04703963510973 2.75466879489226 3.64732751704773 4.31610709875882 5.15194544725231 29.6
