"ID" "Year" "LAI_Avg" "Municipality"
"Skuodas.2010" 23 2010 30.9772830108471 "Skuodas"
"Sakiai.2010" 24 2010 32.6001891747735 "Sakiai"
"Marijampole.2010" 25 2010 32.4847670771729 "Marijampole"
"Vilkaviskis.2010" 26 2010 30.2879067032037 "Vilkaviskis"
"Birzai.2010" 27 2010 32.3139514402009 "Birzai"
"Kupiskis.2010" 28 2010 31.800242980267 "Kupiskis"
"Panevezys.2010" 29 2010 31.9511797715478 "Panevezys"
"Pasvalys.2010" 30 2010 28.5132351172381 "Pasvalys"
"Rokiskis.2010" 31 2010 33.7852747504621 "Rokiskis"
"Silale.2010" 32 2010 39.1095949240845 "Silale"
"Jurbarkas.2010" 33 2010 34.1676028605677 "Jurbarkas"
"Taurage.2010" 34 2010 37.1985794199236 "Taurage"
"Mazeikiai.2010" 35 2010 28.5353926591595 "Mazeikiai"
"Plunge.2010" 36 2010 37.519085379913 "Plunge"
"Telsiai.2010" 37 2010 34.6190791031824 "Telsiai"
"Anyksciai.2010" 38 2010 34.0099919779767 "Anyksciai"
"Ignalina.2010" 39 2010 34.8074080448402 "Ignalina"
"Moletai.2010" 40 2010 36.384792050122 "Moletai"
"Utena.2010" 41 2010 38.3100918559853 "Utena"
"Zarasai.2010" 42 2010 38.2200769302937 "Zarasai"
"Salcininkai.2010" 43 2010 33.5233826432893 "Salcininkai"
"Sirvintos.2010" 44 2010 35.5358291723377 "Sirvintos"
"Svencionys.2010" 45 2010 33.3121475129497 "Svencionys"
"Trakai.2010" 46 2010 35.6249240934687 "Trakai"
"Ukmerge.2010" 47 2010 34.7741417667756 "Ukmerge"
"Vilnius.2010" 48 2010 35.7742699440201 "Vilnius"
